date,Karachi,Hyderabad,Sukkur,Larkana,Quetta,Bahawalpur,Multan,Faisalabad,Lahore,Gujranwala,Sialkot,Rawalpindi,Islamabad,Peshawar,Muzaffarabad
1990-01-01,0.2,0.0,3.8,0.9,116.7,2.3,3.3,16.0,18.9,27.8,28.3,55.300000000000004,67.19999999999999,68.89999999999999,132.4
1990-02-01,14.5,4.9,22.3,21.400000000000002,113.4,60.300000000000004,42.6,58.3,74.7,89.9,119.10000000000001,142.6,177.7,66.5,242.70000000000002
1990-03-01,0.7,0.0,2.5,3.0999999999999996,28.6,4.1,11.3,85.3,86.5,299.7,312.1,198.4,217.5,138.0,269.3
1990-04-01,0.0,1.0,0.3,0.2,13.0,4.6000000000000005,7.1,7.800000000000001,17.8,35.9,39.7,64.4,81.6,46.8,171.20000000000002
1990-05-01,0.2,2.2,7.6000000000000005,11.5,0.5,3.5,8.4,25.700000000000003,17.9,8.799999999999999,8.0,12.1,13.3,11.8,23.5
1990-06-01,0.5,0.1,0.5,2.2,2.0,7.9,15.2,16.8,25.1,50.2,65.1,59.8,60.199999999999996,16.2,51.5
1990-07-01,1.2,10.0,19.1,2.3000000000000003,4.3,9.3,15.400000000000002,112.5,182.1,315.2,277.0,180.4,165.70000000000002,77.3,146.1
1990-08-01,55.699999999999996,156.9,61.1,87.7,39.4,49.2,98.4,184.3,237.7,241.9,296.7,258.4,179.3,195.5,266.4
1990-09-01,1.5,7.1,1.3,0.6000000000000001,3.2,24.400000000000002,20.0,83.10000000000001,119.89999999999999,169.1,179.5,132.2,94.0,95.7,39.8
1990-10-01,0.0,0.0,1.5,1.0,0.0,0.5,1.9,3.0,3.1,10.0,19.1,42.400000000000006,42.0,22.5,31.8
1990-11-01,0.0,0.2,0.0,0.1,8.7,1.3,1.6,12.5,15.9,18.1,12.7,6.0,3.6,9.299999999999999,12.4
1990-12-01,0.3,0.0,0.0,0.0,56.1,8.200000000000001,14.3,66.9,64.7,119.5,172.4,186.29999999999998,216.1,61.699999999999996,375.5
1991-01-01,1.7,1.0,1.2,0.8,85.4,2.6,2.5,5.5,4.8,8.100000000000001,7.8,28.0,45.1,17.400000000000002,81.4
1991-02-01,12.2,2.2,1.0,1.3,74.8,13.3,8.899999999999999,29.0,65.7,114.6,144.8,173.7,194.9,67.1,284.4
1991-03-01,1.6,0.3,0.1,0.4,98.4,4.1,20.900000000000002,42.3,54.4,102.2,145.1,196.6,202.6,110.3,274.6
1991-04-01,0.0,1.3,1.9000000000000001,1.2,42.3,25.900000000000002,30.8,68.1,76.3,150.1,173.8,208.2,225.29999999999998,234.9,227.1
1991-05-01,0.0,0.0,3.5,5.6,28.900000000000002,17.8,31.599999999999998,19.2,22.6,23.5,23.8,71.3,85.4,95.0,152.4
1991-06-01,0.0,0.5,2.0,2.4,16.299999999999997,4.5,19.9,36.4,79.8,101.20000000000002,66.3,86.0,73.10000000000001,47.4,28.0
1991-07-01,0.0,0.0,0.0,0.0,9.2,2.2,2.7,27.0,51.6,204.5,162.3,351.8,278.5,303.0,122.0
1991-08-01,0.7,0.1,2.4,0.9,1.5,13.8,37.5,60.5,141.3,294.9,352.9,214.9,162.7,174.3,130.0
1991-09-01,0.4,0.0,0.0,0.0,2.6,9.1,22.0,50.2,37.2,55.0,75.3,118.1,106.5,151.5,104.5
1991-10-01,0.0,0.0,0.0,0.0,0.0,0.8,1.1,5.5,4.6000000000000005,3.3,2.4,5.6,6.5,2.2,21.1
1991-11-01,0.5,0.0,0.7,0.2,8.2,0.8,3.3,5.2,2.2,15.200000000000001,7.3,2.7,2.7,5.3,5.8999999999999995
1991-12-01,0.3,0.0,7.3999999999999995,1.5999999999999999,26.4,9.5,11.1,24.700000000000003,19.900000000000002,40.3,57.0,34.5,37.6,20.7,52.300000000000004
1992-01-01,25.8,24.8,26.3,20.7,58.8,34.1,34.5,49.199999999999996,104.8,127.2,135.4,164.60000000000002,224.10000000000002,81.9,254.0
1992-02-01,1.9000000000000001,2.5,3.4000000000000004,3.1,71.4,10.4,13.700000000000001,31.1,26.6,45.2,48.3,80.9,99.4,73.8,202.5
1992-03-01,10.1,3.0,0.6,1.5,36.5,4.3,13.600000000000001,27.2,33.9,149.5,200.4,216.4,286.8,101.1,386.8
1992-04-01,1.8,0.0,6.6,4.4,80.2,7.7,14.899999999999999,40.900000000000006,31.8,36.7,34.3,55.5,74.3,103.10000000000001,103.9
1992-05-01,0.0,1.2000000000000002,3.6,4.5,15.899999999999999,7.8,8.6,7.3,21.9,36.0,34.199999999999996,27.400000000000002,52.6,28.9,123.60000000000001
1992-06-01,0.4,1.5,1.5,2.6999999999999997,0.2,1.7,5.3,35.3,33.8,42.2,20.2,24.5,24.7,13.4,26.3
1992-07-01,139.9,295.2,66.0,102.1,45.0,58.0,78.7,117.7,152.3,212.0,235.9,177.3,143.5,169.7,108.8
1992-08-01,92.1,95.0,94.7,70.7,49.0,68.5,94.3,120.10000000000001,102.2,185.4,187.2,355.2,262.5,242.5,200.8
